mes,termino,interes,category
2022-03,jacket,32.0,prenda
2022-04,jacket,31.0,prenda
2022-05,jacket,26.0,prenda
2022-06,jacket,26.0,prenda
2022-07,jacket,24.0,prenda
2022-08,jacket,26.0,prenda
2022-09,jacket,37.0,prenda
2022-10,jacket,47.0,prenda
2022-11,jacket,57.0,prenda
2022-12,jacket,57.0,prenda
2023-01,jacket,46.0,prenda
2023-02,jacket,38.0,prenda
2023-03,jacket,32.0,prenda
2023-04,jacket,31.0,prenda
2023-05,jacket,26.0,prenda
2023-06,jacket,24.0,prenda
2023-07,jacket,26.0,prenda
2023-08,jacket,28.0,prenda
2023-09,jacket,34.0,prenda
2023-10,jacket,46.0,prenda
2023-11,jacket,58.0,prenda
2023-12,jacket,56.0,prenda
2024-01,jacket,47.0,prenda
2024-02,jacket,38.0,prenda
2024-03,jacket,34.0,prenda
2024-04,jacket,30.0,prenda
2024-05,jacket,27.0,prenda
2024-06,jacket,26.0,prenda
2024-07,jacket,27.0,prenda
2024-08,jacket,33.0,prenda
2024-09,jacket,41.0,prenda
2024-10,jacket,50.0,prenda
2024-11,jacket,65.0,prenda
2024-12,jacket,71.0,prenda
2025-01,jacket,55.0,prenda
2025-02,jacket,42.0,prenda
2025-03,jacket,37.0,prenda
2025-04,jacket,33.0,prenda
2025-05,jacket,31.0,prenda
2025-06,jacket,29.0,prenda
2025-07,jacket,31.0,prenda
2025-08,jacket,42.0,prenda
2025-09,jacket,51.0,prenda
2025-10,jacket,65.0,prenda
2025-11,jacket,81.0,prenda
2025-12,jacket,77.0,prenda
2026-01,jacket,58.0,prenda
2020-01,skirt,9.0,prenda
2020-02,skirt,9.0,prenda
2020-03,skirt,7.0,prenda
2020-04,skirt,7.0,prenda
2020-05,skirt,9.0,prenda
2020-06,skirt,9.0,prenda
2020-07,skirt,10.0,prenda
2020-08,skirt,10.0,prenda
2020-09,skirt,10.0,prenda
2020-10,skirt,10.0,prenda
2020-11,skirt,10.0,prenda
2020-12,skirt,10.0,prenda
2021-01,skirt,8.0,prenda
2021-02,skirt,8.0,prenda
2021-03,skirt,9.0,prenda
2021-04,skirt,10.0,prenda
2021-05,skirt,10.0,prenda
2021-06,skirt,10.0,prenda
2021-07,skirt,10.0,prenda
2021-08,skirt,10.0,prenda
2021-09,skirt,11.0,prenda
2021-10,skirt,12.0,prenda
2021-11,skirt,12.0,prenda
2021-12,skirt,11.0,prenda
2022-01,skirt,9.0,prenda
2022-02,skirt,10.0,prenda
2022-03,skirt,10.0,prenda
2022-04,skirt,11.0,prenda
2022-05,skirt,11.0,prenda
2022-06,skirt,11.0,prenda
2022-07,skirt,11.0,prenda
2022-08,skirt,11.0,prenda
2022-09,skirt,10.0,prenda
2022-10,skirt,12.0,prenda
2022-11,skirt,11.0,prenda
2022-12,skirt,11.0,prenda
2023-01,skirt,10.0,prenda
2023-02,skirt,10.0,prenda
2023-03,skirt,11.0,prenda
2023-04,skirt,11.0,prenda
2023-05,skirt,11.0,prenda
2023-06,skirt,12.0,prenda
2023-07,skirt,12.0,prenda
2023-08,skirt,12.0,prenda
2023-09,skirt,13.0,prenda
2023-10,skirt,13.0,prenda
2023-11,skirt,13.0,prenda
2023-12,skirt,13.0,prenda
2024-01,skirt,10.0,prenda
2024-02,skirt,12.0,prenda
2024-03,skirt,12.0,prenda
2024-04,skirt,12.0,prenda
2024-05,skirt,13.0,prenda
2024-06,skirt,14.0,prenda
2024-07,skirt,14.0,prenda
2024-08,skirt,14.0,prenda
2024-09,skirt,14.0,prenda
2024-10,skirt,15.0,prenda
2024-11,skirt,14.0,prenda
2024-12,skirt,14.0,prenda
2025-01,skirt,12.0,prenda
2025-02,skirt,12.0,prenda
2025-03,skirt,14.0,prenda
2025-04,skirt,13.0,prenda
2025-05,skirt,14.0,prenda
