mes,termino,impact_score
2017-05,plaid,2.0
2017-05,red,8.0
2017-05,silver,2.0
2017-05,wool,14.0
2017-08,black,2.0
2017-08,lace,2.0
2017-08,red,4.0
2017-08,shirt,8.0
2017-08,t-shirt,8.0
2017-09,blazer,2.0
2017-09,brown,2.0
2017-09,coat,2.0
2017-09,minimalist,4.0
2017-09,mint,2.0
2017-09,pants,2.0
2017-09,preppy,2.0
2017-09,red,60.0
2017-09,satin,2.0
2017-09,shirt,2.0
2017-09,silk,2.0
2017-09,sneakers,2.0
2017-09,vintage,2.0
2017-09,white,2.0
2017-10,beige,2.0
2017-10,black,2.0
2017-10,blazer,2.0
2017-10,brown,6.0
2017-10,dress,2.0
2017-10,lace,6.0
2017-10,red,32.0
2017-10,sneakers,2.0
2017-10,streetwear,2.0
2017-10,vintage,10.0
2017-10,white,6.0
2017-11,red,2.0
2017-12,athleisure,0.3
2017-12,black,4.0
2017-12,bodysuit,0.3
2017-12,casual,2.0
2017-12,heels,0.3
2017-12,red,14.0
2017-12,sweater,0.3
2018-01,black,4.0
2018-01,casual,2.0
2018-01,dress,2.0
2018-01,jeans,2.0
2018-01,lace,6.0
2018-01,olive,2.0
2018-01,red,28.0
2018-01,sneakers,2.0
2018-01,streetwear,10.0
2018-01,vintage,2.0
2018-01,white,10.0
2018-05,black,2.0
2018-05,lace,2.0
2018-05,red,12.0
2018-06,black,2.0
2018-06,dress,4.0
2018-06,red,2.0
2018-07,floral,4.0
2018-07,preppy,4.0
2018-08,red,2.0
2018-09,black,2.0
2018-09,blue,4.0
2018-09,boots,2.0
2018-09,dress,6.0
2018-09,jeans,2.0
2018-09,leather,2.0
2018-09,pink,2.0
2018-09,red,8.0
2018-09,shirt,2.0
2018-09,vintage,2.0
2018-11,blazer,2.0
2018-11,minimalist,2.0
2018-11,red,2.0
2018-12,athleisure,0.8999999999999999
2018-12,bodysuit,0.3
2018-12,bomber jacket,0.6
2018-12,crop top,0.3
2018-12,dress,0.3
2018-12,jacket,0.6
2018-12,jeans,4.0
2018-12,maxi dress,0.3
2018-12,minimalist,2.0
2018-12,navy,0.6
2018-12,red,2.0
2018-12,streetwear,0.6
2018-12,wool,8.0
2019-01,denim,2.0
2019-01,vintage,2.0
2019-02,athleisure,0.3
2019-02,blouse,0.3
2019-02,dress,0.6
2019-02,mini skirt,0.3
2019-02,minimalist,0.6
2019-02,satin,0.6
2019-02,skirt,0.3
2019-02,slip dress,0.3
2019-03,athleisure,0.3
2019-03,beige,4.0
2019-03,casual,4.0
2019-03,coat,0.3
2019-03,faux leather,0.3
2019-03,leather,0.3
2019-03,minimalist,2.0
2019-03,red,6.0
2019-03,trench coat,0.3
2019-04,black,4.0
2019-04,blazer,12.0
2019-04,dress,4.0
2019-04,floral,4.0
2019-04,navy,4.0
2019-05,athleisure,0.6
2019-05,cargo pants,0.6
2019-05,dress,2.0
2019-05,pants,0.6
2019-05,streetwear,0.6
2019-05,sweater,0.6
2019-05,vintage,2.0
2019-06,animal print,2.0
2019-06,beige,0.6
2019-06,coat,1.2
2019-06,jeans,6.0
2019-06,pants,0.6
2019-06,red,4.0
2019-06,trench coat,0.6
2019-07,beige,2.0
2019-07,black,2.0
2019-07,blazer,4.0
2019-07,blue,6.0
2019-07,boots,2.0
2019-07,camel,2.0
2019-07,casual,10.0
2019-07,coat,8.0
2019-07,cotton,2.0
2019-07,denim,12.0
2019-07,dress,8.0
2019-07,floral,2.0
2019-07,green,2.0
2019-07,handbag,4.0
2019-07,hoodie,2.0
2019-07,jacket,6.0
2019-07,jeans,6.0
2019-07,lace,4.0
2019-07,lavender,4.0
2019-07,minimalist,2.0
2019-07,red,62.0
2019-07,sandals,2.0
2019-07,shirt,10.0
2019-07,silk,2.0
2019-07,silver,2.0
2019-07,sneakers,2.0
2019-07,streetwear,10.0
2019-07,t-shirt,6.0
2019-07,vintage,12.0
2019-07,white,8.0
2019-07,wool,6.0
2019-08,black,10.0
2019-08,blazer,10.0
2019-08,camel,2.0
2019-08,casual,10.0
2019-08,coat,2.0
2019-08,denim,4.0
2019-08,floral,4.0
2019-08,handbag,2.0
2019-08,jeans,2.0
2019-08,lace,2.0
2019-08,pants,2.0
2019-08,preppy,2.0
2019-08,red,20.0
2019-08,sneakers,6.0
2019-08,streetwear,20.0
2019-08,trench coat,2.0
2019-08,vintage,10.0
2019-08,white,6.0
2019-09,beige,2.0
2019-09,black,10.0
2019-09,blazer,8.0
2019-09,blouse,8.0
2019-09,blue,2.0
2019-09,boots,2.0
2019-09,camouflage,2.0
2019-09,casual,8.0
2019-09,coat,2.0
2019-09,corduroy,2.0
2019-09,dress,6.0
2019-09,green,2.0
2019-09,jacket,10.0
2019-09,jeans,8.0
2019-09,leather,2.0
2019-09,minimalist,2.0
2019-09,red,52.0
2019-09,satin,2.0
2019-09,shirt,8.0
2019-09,silk,10.0
2019-09,silver,2.0
2019-09,skirt,2.0
2019-09,t-shirt,6.0
2019-09,vintage,4.0
2019-09,white,2.0
2019-09,wool,4.0
2019-09,yellow,2.0
2019-10,beige,6.0
2019-10,black,16.0
2019-10,blazer,8.0
2019-10,blue,10.0
2019-10,boots,4.0
2019-10,brown,8.0
2019-10,camel,8.0
2019-10,casual,4.0
2019-10,chiffon,2.0
2019-10,coat,2.0
2019-10,denim,14.0
2019-10,dress,8.0
2019-10,floral,2.0
2019-10,green,2.0
2019-10,jacket,14.0
2019-10,jeans,28.0
2019-10,lace,6.0
2019-10,navy,2.0
2019-10,pants,2.0
2019-10,pink,4.0
2019-10,preppy,10.0
2019-10,red,50.0
2019-10,satin,2.0
2019-10,shirt,8.0
2019-10,silk,2.0
2019-10,skirt,2.0
2019-10,sneakers,2.0
2019-10,streetwear,6.0
2019-10,sunglasses,2.0
2019-10,trench coat,2.0
2019-10,vintage,8.0
2019-10,white,4.0
2019-11,beige,2.0
2019-11,dress,4.0
2019-11,minimalist,4.0
2019-11,red,24.0
2019-11,satin,2.0
2019-11,slip dress,4.0
2019-12,beige,6.0
2019-12,black,2.0
2019-12,blazer,8.0
2019-12,camel,6.0
2019-12,casual,10.0
2019-12,denim,4.0
2019-12,dress,4.0
2019-12,floral,2.0
2019-12,jacket,2.0
2019-12,jeans,4.0
2019-12,mesh,2.0
2019-12,red,18.0
